studyName,location,latitude,longitude,vegetation,map,mat,grouping,lai,species,speciesMatched,family,pft,growingCondition,status,light,age,a.lf,a.ssba,a.ssbh,a.ssbc,a.shba,a.shbh,a.shbc,a.sbba,a.sbbh,a.sbbc,a.stba,a.stbh,a.stbc,a.cp,a.cs,h.t,h.c,d.ba,d.bh,h.bh,d.cr,c.d,m.lf,m.ss,m.sh,m.sb,m.st,m.so,m.br,m.rf,m.rc,m.rt,m.to,a.ilf,ma.ilf,r.st,r.ss,r.sb,r.sh,n.lf,n.ss,n.sb,n.sh,n.rf,n.rc
Lusk2012,"Parque Nacional Puyehue, Chile",-40.65,-72.18,TempRF,NA,NA,NA,NA,Nothofagus nitida,Nothofagus nitida,Nothofagaceae,EA,FW,NA,NA,NA,0.00051,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.03E-07,NA,NA,0.000871171,0.002382597,0.069,0.038831774,8.00E-04,NA,NA,0.033304795,0.030168226,4.40E-05,NA,NA,NA,2.20E-05,6.60E-05,NA,NA,NA,3.10E-05,9.70E-05,7.23E-05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Lusk2011,"Parque Nacional Puyehue, Chile",-40.65,-72.18,TempRF,3500,NA,NA,NA,Eucryphia cordifolia,Eucryphia cordifolia,Cunionaceae,EA,FW,NA,NA,NA,0.00066,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.96E-07,NA,NA,0.000883482,0.003138851,0.051,0.005097397,5.00E-04,NA,NA,0.033539294,0.045902603,3.40E-05,NA,NA,NA,2.20E-05,5.60E-05,NA,NA,NA,2.90E-05,8.50E-05,5.50E-05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Lusk2012,"Parque Nacional Puyehue, Chile",-40.65,-72.18,TempRF,NA,NA,NA,NA,Araucaria araucana,Araucaria araucana,Araucariaceae,EG,FW,NA,NA,NA,0.00087,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.26E-05,NA,NA,0.000887205,0.003473395,0.084,0.042723599,0.00401,NA,NA,0.033609887,0.041276401,0.000114,NA,NA,NA,0.000174,0.000288,NA,NA,NA,0.000307,0.000595,2.42E-05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Delagrange0000a,"Outaouais, Quebec, Canada",46.12777778,-75.15666667,TempF,870,3.9,plot_ID = 147; Subplot_ID = A,NA,Acer saccharum,Acer saccharum,Aceraceae,DA,FW,0,under 8% PPFD,NA,0.002792,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.27E-06,NA,NA,0.00093482,NA,0.1,0.02,0.0017,NA,NA,0.0345,0.08,9.50E-05,NA,NA,NA,0.000124,0.000219,NA,NA,NA,9.40E-05,0.000313,NA,0.034025788,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Poorter1999,"Riberalta, Bolivia",-11,-66,TropRF,1780,27,NA,NA,Aspidosperma tambopatense,Aspidosperma parvifolium,Apocynaceae,EA,CG,NA,100,NA,0.00063,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.54E-06,NA,NA,0.001,NA,0.076,0.071,0.0018,NA,NA,0.034641016,0.005,2.80E-05,NA,NA,NA,0.000124,0.000152,NA,NA,NA,7.80E-05,0.00023,0.00016,0.044,640,NA,NA,NA,NA,NA,NA,NA,NA,NA
Poorter1999,"Riberalta, Bolivia",-11,-66,TropRF,1780,27,NA,NA,Pouteria sp.,Pouteria sp.,Sapotaceae,EA,CG,NA,100,NA,0.00069,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.02E-05,NA,NA,0.0013,NA,0.185,NA,0.0036,NA,NA,0.034641016,NA,5.70E-05,NA,NA,NA,0.001138,0.001195,9.00E-06,NA,NA,0.001445,0.00264,0.00069,0.083,600,NA,NA,NA,NA,NA,NA,NA,NA,NA
Lusk2011,"Parque Nacional Puyehue, Chile",-40.65,-72.18,TempRF,3500,NA,NA,NA,Nothofagus dombeyi,Nothofagus dombeyi,Nothofagaceae,EA,FW,NA,NA,NA,5.00E-04,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.26E-07,NA,NA,0.000960811,0.003241136,0.068,0.021717622,0.000401,NA,NA,0.034976314,0.046282378,3.20E-05,NA,NA,NA,2.40E-05,5.60E-05,NA,NA,NA,1.20E-05,6.80E-05,5.50E-05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Lusk2011,"Parque Nacional Puyehue, Chile",-40.65,-72.18,TempRF,3500,NA,NA,NA,Eucryphia cordifolia,Eucryphia cordifolia,Cunionaceae,EA,FW,NA,NA,NA,0.00075,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.81E-06,NA,NA,0.000977033,0.003768239,0.067,0.018782931,0.00152,NA,NA,0.035270342,0.048217069,4.00E-05,NA,NA,NA,2.00E-05,6.00E-05,NA,NA,NA,2.00E-05,8.00E-05,3.36E-05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Lusk2012,"Parque Nacional Puyehue, Chile",-40.65,-72.18,TempRF,NA,NA,NA,NA,Araucaria araucana,Araucaria araucana,Araucariaceae,EG,FW,NA,NA,NA,0.00118,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.55E-06,NA,NA,0.000982495,0.00566775,0.132,0.060794511,0.0033,NA,NA,0.035368793,0.071205489,0.000158,NA,NA,NA,0.000213,0.000371,NA,NA,NA,0.000288,0.000659,2.90E-05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Lusk2012,"Parque Nacional Puyehue, Chile",-40.65,-72.18,TempRF,NA,NA,NA,NA,Araucaria araucana,Araucaria araucana,Araucariaceae,EG,FW,NA,NA,NA,0.00134,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.55E-05,NA,NA,0.001010261,0.005274381,0.095,0.033514761,0.0057,NA,NA,0.035865084,0.061485239,0.000125,NA,NA,NA,7.60E-05,0.000201,NA,NA,NA,0.000358,0.000559,2.64E-05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
